@RELATION gemsales

@ATTRIBUTE material  {Diamond,Platinum,Gold,Silver}
@ATTRIBUTE shape     {Ring,Neckless,Earrings,Brooch,Brace}
@ATTRIBUTE weight    NUMERIC
@ATTRIBUTE brand     {WorldTopBrand,FamouseBrand,NationalBrand,NoBrand}
@ATTRIBUTE shop      {BrandStore,DepartmentStore,MassRetailer,DiscountStore}
@ATTRIBUTE price     NUMERIC

@DATA
Silver,Ring,21,NationalBrand,BrandStore,148
Platinum,Neckless,44,WorldTopBrand,DepartmentStore,3173
Silver,Brace,41,FamouseBrand,BrandStore,427
Gold,Brace,56,NationalBrand,DepartmentStore,605
Diamond,Neckless,18,FamouseBrand,BrandStore,2076
Gold,Ring,57,NationalBrand,DepartmentStore,580
Platinum,Neckless,32,NationalBrand,BrandStore,826
Diamond,Neckless,22,NoBrand,DepartmentStore,434
Silver,Neckless,52,NationalBrand,DiscountStore,121
Gold,Brooch,16,NationalBrand,DiscountStore,282
Diamond,Ring,42,WorldTopBrand,DepartmentStore,4300
Silver,Brooch,10,WorldTopBrand,DepartmentStore,390
Gold,Earrings,15,WorldTopBrand,BrandStore,1708
Diamond,Brace,54,NationalBrand,DepartmentStore,1200
Gold,Earrings,25,WorldTopBrand,BrandStore,1997
Platinum,Brooch,54,NationalBrand,BrandStore,930
