id,material,shape,weight,brand,shop,price
464,Silver,Brace,21,NationalBrand,DepartmentStore,137
465,Diamond,Ring,20,FamouseBrand,DepartmentStore,1940
466,Platinum,Earrings,55,NationalBrand,BrandStore,935
467,Silver,Brooch,42,FamouseBrand,DepartmentStore,345
468,Platinum,Brace,57,WorldTopBrand,BrandStore,4132
469,Silver,Brace,41,FamouseBrand,BrandStore,427
470,Diamond,Ring,56,FamouseBrand,BrandStore,2945
471,Silver,Ring,42,NationalBrand,DepartmentStore,160
472,Diamond,Neckless,35,WorldTopBrand,BrandStore,4510
473,Platinum,Brace,46,NationalBrand,BrandStore,976
474,Platinum,Brooch,29,NationalBrand,DepartmentStore,692
475,Silver,Neckless,18,NationalBrand,DiscountStore,88
476,Diamond,Brace,29,NoBrand,DiscountStore,371
477,Gold,Brace,29,NationalBrand,BrandStore,575
478,Gold,Ring,45,NoBrand,DiscountStore,200
479,Silver,Brace,39,WorldTopBrand,BrandStore,747
480,Platinum,Brace,52,FamouseBrand,BrandStore,2265
481,Silver,Earrings,35,WorldTopBrand,DepartmentStore,587
482,Gold,Brooch,52,NationalBrand,DiscountStore,397
483,Diamond,Ring,40,WorldTopBrand,DepartmentStore,4253
484,Silver,Ring,21,NationalBrand,BrandStore,148
485,Platinum,Neckless,44,WorldTopBrand,DepartmentStore,3173
486,Silver,Brace,41,FamouseBrand,BrandStore,427
487,Gold,Brace,56,NationalBrand,DepartmentStore,605
488,Diamond,Neckless,18,FamouseBrand,BrandStore,2076
489,Gold,Ring,57,NationalBrand,DepartmentStore,580
490,Platinum,Neckless,32,NationalBrand,BrandStore,826
491,Diamond,Neckless,22,NoBrand,DepartmentStore,434
492,Silver,Neckless,52,NationalBrand,DiscountStore,121
493,Gold,Brooch,16,NationalBrand,DiscountStore,282
494,Diamond,Ring,42,WorldTopBrand,DepartmentStore,4300
495,Silver,Brooch,10,WorldTopBrand,DepartmentStore,390
496,Gold,Earrings,15,WorldTopBrand,BrandStore,1708
497,Diamond,Brace,54,NationalBrand,DepartmentStore,1200
498,Gold,Earrings,25,WorldTopBrand,BrandStore,1997
499,Platinum,Brooch,54,NationalBrand,BrandStore,930
